Countries,Images,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,https://images-na.ssl-images-amazon.com/images/I/61zZ2QfrmdL._SL1500_.jpg,6988000.0,6988446.0,7000000.0,7150000.0,7300000.0,7450000.0,7600000.0,7750000.0,7900000.0,8050000.0,8200000.0,8350000.0,8500000.0,8650000.0,8800000.0,8950000.0,9100000.0,9250000.0,9400000.0,9550000.0,9700000.0,9850000.0,10000000.0,10150000.0,10300000.0,10450000.0,10600000.0,10750000.0,10900000.0,11050000.0,11200000.0,11350000.0,11500000.0,11650000.0,11800000.0,11950000.0,12100000.0,10600000.0,10450000.0,10300000.0,10503550.0,10904298.0,11305046.0,11705794.0,12106542.0,12507290.0,12908038.0,13308786.0,13709534.0,14110282.0,14511030.0,14911778,15329618.0,15747458.0,16165298.0,16583138.0,17000978.0,17618818.0,18036658.0
Brazil,https://www.flagsonline.it/uploads/2016-6-6/1200-0/brazil.jpg,653324.0,672130.0,675016.0,679061.0,683106.0,687151.0,691196.0,695241.0,699286.0,703331.0,707376.0,711421.0,715466.0,719511.0,723556.0,727601.0,731646.0,735691.0,739736.0,743781.0,747826.0,751871.0,755916.0,759961.0,764006.0,764410.0,764450.0,768495.0,772540.0,776585.0,780630.0,784675.0,785079.0,785083.0,789128.0,789132.0,384632.0,388677.0,388673.0,388713.0,538000.0,553000.0,568000.0,583000.0,598000.0,613000.0,628000.0,643000.0,658000.0,673000.0,688000.0,703000,777000.0,851000.0,925000.0,999000.0,1099000.0,1199000.0,1417149.0
Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/1200px-Flag_of_Bangladesh.svg.png,508000.0,505004.0,531240.0,541985.0,541986.0,552731.0,563476.0,574221.0,584966.0,595711.0,606456.0,617201.0,627946.0,638691.0,649436.0,660181.0,670926.0,681671.0,692416.0,703161.0,713906.0,724651.0,735396.0,746141.0,756886.0,767631.0,778376.0,789121.0,799866.0,810611.0,821356.0,832101.0,842846.0,853591.0,864336.0,875081.0,885826.0,896571.0,907316.0,918061.0,968061.0,1018061.0,1068061.0,1118061.0,1168061.0,1218061.0,1268061.0,1318061.0,1368061.0,1418061.0,1468061.0,1518061,1433560.0,1349059.0,1264558.0,1180057.0,1095556.0,1147840.0,1161685.0
Thailand,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/1200px-Flag_of_Thailand.svg.png,320000.0,350000.0,350480.0,353480.0,356480.0,359480.0,362480.0,365480.0,368480.0,371480.0,374480.0,377480.0,380480.0,383480.0,386480.0,389480.0,392480.0,395480.0,398480.0,401480.0,404480.0,407480.0,410480.0,413480.0,416480.0,419480.0,422480.0,430280.0,730280.0,733280.0,736280.0,739280.0,742280.0,745280.0,748280.0,1048280.0,1045280.0,1345284.0,1348284.0,1648284.0,1623740.0,1722481.0,1821222.0,1919963.0,2018704.0,2117445.0,2216186.0,2314927.0,2413668.0,2512409.0,2611150.0,2709891,2759891.0,2809891.0,2859891.0,2909891.0,3069891.0,3229891.0,3432129.0
Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,300000.0,300744.0,318561.0,333561.0,348561.0,363561.0,378561.0,393561.0,408561.0,423561.0,438561.0,453561.0,468561.0,483561.0,498561.0,513561.0,528561.0,543561.0,558561.0,573561.0,588561.0,603561.0,618561.0,633561.0,648561.0,663561.0,678561.0,693561.0,708561.0,723561.0,738561.0,753561.0,768561.0,783561.0,798561.0,813561.0,798561.0,813561.0,828561.0,843561.0,1031784.0,1172663.0,1313542.0,1454421.0,1595300.0,1736179.0,1877058.0,2017937.0,2158816.0,2299695.0,2440574.0,2581453,2527453.0,2473453.0,2419453.0,2365453.0,2311453.0,2257453.0,2184399.0
Pakistan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/2000px-Flag_of_Pakistan.svg.png,239000.0,486031.0,228672.0,328672.0,428672.0,528672.0,528772.0,528872.0,528972.0,529072.0,529172.0,529272.0,529372.0,529472.0,529572.0,529672.0,529772.0,529872.0,529972.0,530072.0,530172.0,530272.0,530372.0,530472.0,530572.0,530672.0,530772.0,530872.0,530972.0,531072.0,531172.0,531272.0,531372.0,531472.0,531572.0,531672.0,531772.0,531872.0,531972.0,532072.0,937000.0,1017457.0,1097914.0,1178371.0,1258828.0,1339285.0,1419742.0,1500199.0,1580656.0,1661113.0,1741570.0,1822027,1807027.0,1792027.0,1777027.0,1762027.0,1747027.0,1732027.0,1606091.0
Nigeria,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/2000px-Flag_of_Nigeria.svg.png,200000.0,200000.0,200000.0,214700.0,229400.0,244100.0,258800.0,273500.0,288200.0,302900.0,317600.0,332300.0,332301.0,332311.0,347011.0,361711.0,376411.0,391111.0,405811.0,420511.0,435211.0,449911.0,464611.0,479311.0,494011.0,508711.0,523411.0,538111.0,552811.0,552812.0,538112.0,523412.0,508712.0,494012.0,479312.0,464612.0,449912.0,435212.0,420512.0,435212.0,730454.0,741238.0,752022.0,762806.0,773590.0,784374.0,795158.0,805942.0,816726.0,827510.0,838294.0,849078,859078.0,869078.0,879078.0,889078.0,899078.0,909078.0,917617.0
Haiti,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/2000px-Flag_of_Haiti.svg.png,191000.0,190372.0,200480.0,211264.0,222048.0,232832.0,243616.0,254400.0,265184.0,275968.0,286752.0,297536.0,308320.0,319104.0,329888.0,340672.0,351456.0,362240.0,373024.0,383808.0,394592.0,405376.0,416160.0,426944.0,437728.0,448512.0,459296.0,470080.0,480864.0,491648.0,502432.0,513216.0,524000.0,534784.0,545568.0,556352.0,567136.0,577920.0,588704.0,599488.0,257000.0,302980.0,348960.0,394940.0,440920.0,486900.0,532880.0,578860.0,624840.0,670820.0,716800.0,762780,,,,,,,
Mexico,https://upload.wikimedia.org/wikipedia/commons/a/a5/Flag_of_Mexico_%28reverse%29.svg,180000.0,189133.0,192075.0,195076.0,198077.0,201078.0,204079.0,207080.0,210081.0,213082.0,216083.0,219084.0,222085.0,225086.0,228087.0,231088.0,234089.0,237090.0,240091.0,243092.0,246093.0,249094.0,252095.0,255096.0,555196.0,558197.0,561198.0,564199.0,864299.0,867300.0,867303.0,870304.0,873305.0,876306.0,906316.0,1206416.0,1209417.0,1212418.0,1215419.0,1218420.0,1559350.0,1590097.0,1620844.0,1651591.0,1682338.0,1713085.0,1743832.0,1774579.0,1805326.0,1836073.0,1866820.0,1897567,1922714.0,1947861.0,1973008.0,1998155.0,2063155.0,2128155.0,2197313.0
China,https://cdn.britannica.com/90/7490-004-415899A0/Flag-China.jpg,175594.0,173372.0,182472.0,227643.0,272814.0,317985.0,363156.0,408327.0,453498.0,453498.0,498669.0,543840.0,589011.0,589056.0,634227.0,679398.0,724569.0,769740.0,814911.0,860082.0,905253.0,950424.0,995595.0,1040766.0,1085937.0,1131108.0,1176279.0,1221450.0,1266621.0,1311792.0,1311796.0,1356967.0,1808677.0,1853848.0,1899019.0,1944190.0,1989361.0,2441071.0,2486242.0,2531413.0,3000451.0,3101235.0,3202019.0,3302803.0,3403587.0,3504371.0,3605155.0,3705939.0,3806723.0,3907507.0,4008291.0,4109075,4219553.0,4330031.0,4440509.0,4550987.0,4661465.0,4771943.0,4771038.0
Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,136567.0,138769.0,140795.0,141843.0,142891.0,143939.0,143949.0,144997.0,146045.0,147093.0,148141.0,149189.0,150237.0,150247.0,151295.0,152343.0,153391.0,154439.0,155487.0,156535.0,157583.0,158631.0,159679.0,160727.0,265527.0,266575.0,267623.0,268671.0,269719.0,270767.0,270768.0,271816.0,272864.0,273912.0,274960.0,276008.0,277056.0,278104.0,279152.0,280200.0,281270.0,282340.0,283410.0,284480.0,285550.0,286620.0,302360.0,318100.0,333840.0,349580.0,365320.0,381060,,,,,,,
Congo Democratic Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/2000px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,130000.0,120298.0,127856.0,130334.0,132812.0,135290.0,137768.0,140246.0,142724.0,145202.0,145210.0,147688.0,150166.0,150168.0,152646.0,155124.0,157602.0,160080.0,162558.0,165036.0,167514.0,169992.0,172470.0,174948.0,177426.0,179904.0,182382.0,184860.0,187338.0,189816.0,192294.0,194772.0,197250.0,199728.0,202206.0,204684.0,207162.0,209640.0,212118.0,214596.0,229376.0,244156.0,258936.0,273716.0,288496.0,303276.0,318056.0,332836.0,347616.0,362396.0,377176.0,391956,,,,,,,
Tanzania,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/1280px-Flag_of_Tanzania.svg.png,104000.0,106112.0,109096.0,113656.0,118216.0,122776.0,127336.0,131896.0,136456.0,141016.0,145576.0,145621.0,150181.0,154741.0,159301.0,163861.0,168421.0,172981.0,177541.0,182101.0,186661.0,191221.0,195781.0,200341.0,204901.0,209461.0,214021.0,218581.0,223141.0,227701.0,227705.0,232265.0,236825.0,241385.0,245945.0,250505.0,255065.0,259625.0,264185.0,268745.0,286585.0,304425.0,322265.0,340105.0,357945.0,375785.0,393625.0,411465.0,429305.0,447145.0,464985.0,482825,,,,,,,
Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,74492.0,86149.0,0.0,96945.0,98345.0,99745.0,101145.0,102545.0,103945.0,105345.0,106745.0,108145.0,109545.0,110945.0,112345.0,113745.0,115145.0,116545.0,117945.0,119345.0,120745.0,122145.0,123545.0,124945.0,126345.0,127745.0,129145.0,130545.0,131945.0,133345.0,133346.0,134746.0,136146.0,137546.0,138946.0,140346.0,141746.0,143146.0,144546.0,145946.0,298887.0,326781.0,354675.0,382569.0,410463.0,438357.0,466251.0,494145.0,522039.0,549933.0,577827.0,605721,706199.0,806677.0,907155.0,1007633.0,1108111.0,1208589.0,1277008.0
Madagascar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/1200px-Flag_of_Madagascar.svg.png,70000.0,80000.0,90336.0,91383.0,92430.0,93477.0,94524.0,95571.0,96618.0,97665.0,98712.0,99759.0,99769.0,99779.0,100826.0,101873.0,102920.0,103967.0,105014.0,106061.0,107108.0,108155.0,109202.0,110249.0,111296.0,112343.0,113390.0,114437.0,115484.0,116531.0,116541.0,117588.0,118635.0,119682.0,120729.0,121776.0,122823.0,123870.0,124917.0,125964.0,127664.0,129364.0,131064.0,132764.0,134464.0,136164.0,137864.0,139564.0,141264.0,142964.0,144664.0,146364,,,,,,,
